longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,rooms_per_household,bedrooms_per_room,population_per_household
-118.85,34.21,29.0,2195.0,414.0,1360.0,401.0,3.4773,206700.0,False,False,False,False,5.473815461346633,0.18861047835990888,3.3915211970074814
-122.21,37.37,34.0,1476.0,217.0,613.0,223.0,8.2883,500001.0,False,False,False,True,6.618834080717488,0.1470189701897019,2.7488789237668163
-122.41,37.6,31.0,4424.0,834.0,1915.0,817.0,4.1364,412000.0,False,False,False,True,5.414932680538556,0.18851717902350815,2.343941248470012
-121.86,37.32,13.0,2519.0,581.0,2094.0,530.0,4.3621,173400.0,False,False,False,False,4.752830188679245,0.23064708217546645,3.950943396226415
-118.02,33.65,38.0,2548.0,646.0,755.0,399.0,2.8352,408300.0,False,False,False,True,6.385964912280702,0.25353218210361067,1.8922305764411027
-122.43,37.71,52.0,1508.0,278.0,1138.0,304.0,4.0234,266500.0,False,False,True,False,4.9605263157894735,0.1843501326259947,3.7434210526315788
-118.15,33.97,33.0,1903.0,469.0,1882.0,435.0,2.4071,170500.0,False,False,False,False,4.374712643678161,0.2464529689963216,4.326436781609195
-122.26,37.88,52.0,2363.0,604.0,1558.0,573.0,2.944,338900.0,False,False,True,False,4.1239092495637,0.2556072788827761,2.719022687609075
-117.02,32.7,22.0,2756.0,516.0,1849.0,486.0,4.1837,125400.0,False,False,False,True,5.670781893004115,0.18722786647314948,3.8045267489711936
-118.26,33.94,41.0,1510.0,410.0,1408.0,389.0,1.65,94200.0,False,False,False,False,3.8817480719794344,0.271523178807947,3.619537275064267
-118.14,34.19,49.0,1678.0,277.0,737.0,287.0,3.7222,237000.0,True,False,False,False,5.846689895470384,0.16507747318235996,2.56794425087108
-119.9,36.94,11.0,2513.0,408.0,1360.0,415.0,4.277,98500.0,True,False,False,False,6.055421686746988,0.1623557500994827,3.2771084337349397
-121.85,38.0,26.0,3364.0,570.0,1806.0,566.0,4.2647,133400.0,True,False,False,False,5.943462897526501,0.1694411414982164,3.1908127208480566
-120.85,37.06,31.0,2609.0,645.0,1796.0,629.0,1.5479,82000.0,True,False,False,False,4.14785373608903,0.2472211575316213,2.8553259141494434
-119.81,36.71,25.0,1026.0,221.0,789.0,183.0,1.5625,52800.0,True,False,False,False,5.60655737704918,0.21539961013645223,4.311475409836065
-121.65,39.13,11.0,4833.0,944.0,2336.0,841.0,2.6842,89100.0,True,False,False,False,5.746730083234245,0.19532381543554728,2.7776456599286563
-119.74,34.44,26.0,4257.0,1031.0,1861.0,950.0,3.4047,294500.0,False,False,False,True,4.481052631578947,0.24218933521259103,1.9589473684210525
-122.03,37.39,22.0,3280.0,933.0,1842.0,795.0,4.4107,232700.0,False,False,False,False,4.1257861635220126,0.2844512195121951,2.3169811320754716
-117.69,33.48,25.0,3240.0,481.0,1462.0,497.0,6.1815,288500.0,False,False,False,False,6.519114688128773,0.14845679012345678,2.941649899396378
-122.04,37.36,26.0,3298.0,460.0,1241.0,472.0,6.8753,403000.0,False,False,False,False,6.987288135593221,0.13947847180109157,2.6292372881355934
-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,False,False,True,False,4.970588235294118,0.1992110453648915,2.172268907563025
-118.43,34.22,34.0,1588.0,360.0,1080.0,340.0,3.66,184600.0,False,False,False,False,4.670588235294118,0.22670025188916876,3.176470588235294
-118.27,34.02,40.0,561.0,284.0,662.0,205.0,0.9234,187500.0,False,False,False,False,2.7365853658536587,0.5062388591800356,3.229268292682927
-118.04,33.71,12.0,4014.0,868.0,1605.0,769.0,6.0102,396900.0,False,False,False,False,5.219765929778934,0.216243148978575,2.0871261378413526
-121.91,37.29,18.0,3597.0,664.0,1321.0,593.0,5.3077,351400.0,False,False,False,False,6.065767284991568,0.1845982763413956,2.2276559865092747
-124.0,40.22,16.0,2088.0,535.0,816.0,326.0,1.319,70700.0,False,False,False,False,6.404907975460123,0.25622605363984674,2.503067484662577
-123.98,40.88,41.0,1719.0,372.0,844.0,336.0,2.6923,84200.0,False,False,False,False,5.116071428571429,0.2164048865619546,2.511904761904762
-121.99,37.26,17.0,4034.0,611.0,1158.0,560.0,8.2069,442500.0,False,False,False,False,7.203571428571428,0.15146256817055032,2.067857142857143
-120.6,37.36,27.0,2521.0,484.0,1307.0,456.0,3.0911,86900.0,True,False,False,False,5.5285087719298245,0.19198730662435542,2.866228070175439
-118.31,33.95,43.0,1823.0,358.0,1065.0,342.0,3.2708,131000.0,False,False,False,False,5.330409356725146,0.1963795940756994,3.1140350877192984
-118.22,33.8,33.0,1984.0,477.0,1764.0,440.0,3.875,165100.0,False,False,False,True,4.509090909090909,0.2404233870967742,4.009090909090909
-117.75,34.05,35.0,1293.0,339.0,1494.0,312.0,1.6645,93300.0,True,False,False,False,4.144230769230769,0.26218097447795824,4.788461538461538
-117.25,33.21,9.0,1944.0,488.0,1992.0,453.0,2.066,127200.0,False,False,False,False,4.291390728476821,0.25102880658436216,4.397350993377484
-118.29,34.17,52.0,1732.0,305.0,875.0,311.0,4.325,292600.0,False,False,False,False,5.569131832797428,0.17609699769053117,2.8135048231511255
-121.49,38.58,52.0,2151.0,664.0,1146.0,603.0,1.4034,90300.0,True,False,False,False,3.5671641791044775,0.3086936308693631,1.900497512437811
-122.04,36.97,30.0,2695.0,424.0,1098.0,420.0,5.3972,362300.0,False,False,False,True,6.416666666666667,0.15732838589981446,2.6142857142857143
-122.28,37.9,52.0,2261.0,328.0,819.0,335.0,4.9083,346800.0,False,False,True,False,6.749253731343283,0.1450685537372844,2.444776119402985
-118.85,34.17,42.0,564.0,96.0,220.0,81.0,4.5625,318800.0,False,False,False,False,6.962962962962963,0.1702127659574468,2.7160493827160495
-122.02,37.53,21.0,4280.0,673.0,2216.0,681.0,5.7072,242200.0,False,False,True,False,6.284875183553598,0.1572429906542056,3.2540381791483113
-121.47,38.61,31.0,1072.0,435.0,781.0,281.0,1.6563,65800.0,True,False,False,False,3.814946619217082,0.40578358208955223,2.7793594306049823
-117.72,33.51,17.0,3617.0,597.0,1176.0,571.0,5.133,324000.0,False,False,False,False,6.334500875656743,0.16505391208183579,2.0595446584938704
-117.31,34.35,9.0,2404.0,390.0,1074.0,359.0,5.0198,151900.0,True,False,False,False,6.696378830083566,0.1622296173044925,2.9916434540389973
-121.38,38.69,35.0,2943.0,554.0,1460.0,510.0,2.6713,84400.0,True,False,False,False,5.770588235294118,0.18824328916072036,2.8627450980392157
-117.17,32.77,6.0,3856.0,875.0,1547.0,816.0,4.5481,164800.0,False,False,False,True,4.7254901960784315,0.22691908713692946,1.8958333333333333
-119.12,35.39,13.0,1264.0,202.0,552.0,187.0,4.5903,94300.0,True,False,False,False,6.759358288770054,0.15981012658227847,2.9518716577540105
-117.88,33.84,31.0,3301.0,712.0,1532.0,682.0,3.7303,223800.0,False,False,False,False,4.840175953079179,0.21569221448046047,2.2463343108504397
-121.2,39.25,5.0,906.0,144.0,376.0,141.0,4.3523,188200.0,True,False,False,False,6.425531914893617,0.15894039735099338,2.6666666666666665
-121.26,37.97,41.0,2398.0,448.0,1143.0,444.0,3.0352,69800.0,True,False,False,False,5.400900900900901,0.18682235195996663,2.574324324324324
-122.47,37.51,15.0,4974.0,764.0,2222.0,774.0,6.7606,364300.0,False,False,False,True,6.426356589147287,0.15359871330920788,2.8708010335917313
-120.84,37.53,14.0,3643.0,706.0,2070.0,697.0,3.1523,141800.0,True,False,False,False,5.226685796269727,0.193796321712874,2.96987087517934
-118.02,33.94,33.0,2382.0,404.0,1339.0,389.0,5.3016,192200.0,False,False,False,False,6.123393316195373,0.16960537363560033,3.442159383033419
-117.68,35.6,12.0,1678.0,241.0,765.0,281.0,6.0532,102800.0,True,False,False,False,5.97153024911032,0.1436233611442193,2.7224199288256226
-118.36,33.84,35.0,1577.0,279.0,743.0,274.0,5.7654,343000.0,False,False,False,False,5.755474452554744,0.17691819911223844,2.7116788321167884
-117.31,34.07,40.0,2936.0,732.0,2024.0,676.0,2.1139,70900.0,True,False,False,False,4.34319526627219,0.24931880108991825,2.9940828402366866
-124.16,40.79,52.0,1264.0,277.0,591.0,284.0,1.7778,76900.0,False,False,False,True,4.450704225352113,0.21914556962025317,2.0809859154929575
-122.42,38.27,25.0,3282.0,566.0,1244.0,483.0,4.5313,308400.0,False,False,True,False,6.795031055900621,0.1724558196221816,2.5755693581780537
-117.92,33.63,39.0,1469.0,226.0,553.0,225.0,7.8496,490800.0,False,False,False,False,6.528888888888889,0.15384615384615385,2.457777777777778
-124.13,40.8,31.0,2152.0,462.0,1259.0,420.0,2.2478,81100.0,False,False,False,True,5.123809523809523,0.21468401486988847,2.9976190476190476
-122.02,37.59,18.0,1165.0,333.0,855.0,319.0,3.6923,213200.0,False,False,True,False,3.652037617554859,0.28583690987124466,2.6802507836990594
-118.31,34.02,23.0,1703.0,397.0,1333.0,361.0,1.3187,127100.0,False,False,False,False,4.717451523545706,0.23311802701115678,3.6925207756232687
-120.85,37.77,20.0,651.0,157.0,421.0,151.0,2.0833,77300.0,True,False,False,False,4.311258278145695,0.2411674347158218,2.7880794701986753
-122.24,38.31,38.0,1938.0,301.0,823.0,285.0,6.1089,280800.0,False,False,True,False,6.8,0.15531475748194015,2.887719298245614
-121.8,37.26,26.0,1394.0,238.0,990.0,315.0,4.8862,195000.0,False,False,False,False,4.425396825396826,0.17073170731707318,3.142857142857143
-122.42,37.75,52.0,2163.0,607.0,1447.0,546.0,3.3555,275000.0,False,False,True,False,3.9615384615384617,0.2806287563569117,2.65018315018315
-117.93,33.72,17.0,4461.0,585.0,2095.0,580.0,7.6709,319500.0,False,False,False,False,7.691379310344828,0.13113651647612642,3.6120689655172415
-120.46,38.09,16.0,3758.0,715.0,1777.0,615.0,3.0,122600.0,True,False,False,False,6.110569105691057,0.19026077700904737,2.8894308943089433
-117.75,33.64,9.0,2499.0,492.0,1111.0,542.0,5.5342,182300.0,False,False,False,False,4.61070110701107,0.19687875150060025,2.0498154981549814
-117.28,34.26,18.0,3895.0,435.0,1086.0,375.0,3.3672,133600.0,True,False,False,False,10.386666666666667,0.1116816431322208,2.896
-120.99,39.22,16.0,1497.0,275.0,737.0,243.0,2.8942,182500.0,True,False,False,False,6.160493827160494,0.18370073480293922,3.0329218106995883
-117.89,33.61,16.0,2413.0,559.0,656.0,423.0,6.3017,350000.0,False,False,False,False,5.704491725768322,0.23166183174471613,1.5508274231678487
-118.21,34.07,31.0,1077.0,300.0,1198.0,274.0,2.1333,160200.0,False,False,False,False,3.9306569343065694,0.2785515320334262,4.372262773722627
-118.39,34.23,43.0,1193.0,299.0,1184.0,320.0,2.1518,161600.0,False,False,False,False,3.728125,0.250628667225482,3.7
-117.15,32.81,34.0,1629.0,318.0,900.0,282.0,3.1458,178300.0,False,False,False,True,5.776595744680851,0.19521178637200737,3.1914893617021276
-118.18,33.86,43.0,2752.0,645.0,1674.0,614.0,3.6719,161300.0,False,False,False,False,4.482084690553746,0.234375,2.726384364820847
-119.46,35.13,46.0,2745.0,543.0,1423.0,482.0,2.1955,26900.0,True,False,False,False,5.695020746887967,0.19781420765027322,2.9522821576763487
-121.84,37.33,26.0,1934.0,408.0,2059.0,416.0,3.6765,163600.0,False,False,False,False,4.649038461538462,0.2109617373319545,4.949519230769231
-119.82,36.81,25.0,3305.0,551.0,1149.0,500.0,5.0698,150900.0,True,False,False,False,6.61,0.16671709531013615,2.298
-122.24,40.17,51.0,2378.0,584.0,1083.0,494.0,1.577,51900.0,True,False,False,False,4.813765182186235,0.24558452481076534,2.1923076923076925
-121.31,37.98,47.0,3386.0,663.0,1228.0,619.0,3.0625,141500.0,True,False,False,False,5.470113085621971,0.19580626107501475,1.9838449111470113
-117.3,34.12,34.0,1127.0,275.0,971.0,249.0,2.0583,64800.0,True,False,False,False,4.526104417670683,0.2440106477373558,3.8995983935742973
-122.44,37.8,52.0,3257.0,735.0,1045.0,620.0,4.5523,500001.0,False,False,True,False,5.253225806451613,0.22566779244703716,1.685483870967742
-118.42,34.18,31.0,2887.0,646.0,1626.0,637.0,3.6745,335500.0,False,False,False,False,4.532182103610675,0.22376169033598892,2.5525902668759812
-122.53,37.87,20.0,1814.0,282.0,658.0,253.0,7.9977,400000.0,False,False,True,False,7.169960474308301,0.15545755237045203,2.600790513833992
-121.46,38.56,52.0,1878.0,393.0,722.0,381.0,3.3348,122800.0,True,False,False,False,4.929133858267717,0.20926517571884984,1.89501312335958
-120.64,36.99,23.0,2363.0,449.0,1168.0,410.0,2.2794,75700.0,True,False,False,False,5.763414634146342,0.1900126957257723,2.848780487804878
-122.24,38.25,33.0,213.0,36.0,91.0,33.0,4.9167,187500.0,False,False,True,False,6.454545454545454,0.16901408450704225,2.757575757575758
-117.23,33.79,17.0,3318.0,759.0,2016.0,673.0,2.2969,89300.0,True,False,False,False,4.930163447251115,0.22875226039783003,2.9955423476968797
-117.53,33.88,22.0,2855.0,667.0,2453.0,624.0,3.1312,91000.0,True,False,False,False,4.575320512820513,0.23362521891418564,3.9310897435897436
-117.69,34.11,16.0,2427.0,522.0,794.0,491.0,2.6929,119300.0,True,False,False,False,4.942973523421589,0.21508034610630408,1.6171079429735233
-121.62,37.61,26.0,1786.0,306.0,771.0,279.0,5.7239,430600.0,True,False,False,False,6.401433691756273,0.1713325867861142,2.763440860215054
-118.21,34.12,41.0,1904.0,514.0,1666.0,498.0,3.6845,175800.0,False,False,False,False,3.823293172690763,0.2699579831932773,3.3453815261044175
-118.89,34.33,23.0,366.0,62.0,265.0,66.0,3.125,375000.0,False,False,False,False,5.545454545454546,0.16939890710382513,4.015151515151516
-118.77,34.26,26.0,3038.0,468.0,1825.0,468.0,5.6385,196900.0,False,False,False,False,6.4914529914529915,0.15404871626069783,3.8995726495726495
-121.22,39.11,14.0,1405.0,269.0,660.0,228.0,3.0804,156800.0,True,False,False,False,6.162280701754386,0.1914590747330961,2.8947368421052633
-117.79,35.21,4.0,2.0,2.0,6.0,2.0,2.375,137500.0,True,False,False,False,1.0,1.0,3.0
-118.27,34.06,33.0,1416.0,686.0,2013.0,614.0,1.9818,208300.0,False,False,False,False,2.3061889250814334,0.4844632768361582,3.278501628664495
-116.94,32.84,32.0,1607.0,253.0,778.0,262.0,4.5278,166300.0,False,False,False,False,6.133587786259542,0.15743621655258244,2.969465648854962
-120.04,36.96,23.0,2126.0,506.0,2091.0,491.0,1.3713,51800.0,True,False,False,False,4.329938900203666,0.23800564440263405,4.258655804480652
-114.62,33.62,26.0,18.0,3.0,5.0,3.0,0.536,275000.0,True,False,False,False,6.0,0.16666666666666666,1.6666666666666667
-121.84,39.72,52.0,1457.0,389.0,802.0,342.0,0.9566,69000.0,True,False,False,False,4.260233918128655,0.2669869595058339,2.345029239766082
-122.17,37.75,48.0,1751.0,390.0,935.0,349.0,1.4375,90000.0,False,False,True,False,5.017191977077364,0.22272986864648772,2.679083094555874
-118.37,34.16,25.0,2450.0,618.0,1054.0,578.0,3.6375,262500.0,False,False,False,False,4.2387543252595155,0.2522448979591837,1.8235294117647058
-118.38,34.14,40.0,1965.0,354.0,666.0,357.0,6.0876,483800.0,False,False,False,False,5.504201680672269,0.1801526717557252,1.865546218487395
-120.83,37.51,34.0,3078.0,477.0,1226.0,487.0,4.601,150000.0,True,False,False,False,6.3203285420944555,0.15497076023391812,2.517453798767967
-121.5,38.5,29.0,2049.0,330.0,787.0,309.0,3.7414,98500.0,True,False,False,False,6.631067961165049,0.16105417276720352,2.546925566343042
-117.31,34.1,28.0,2899.0,755.0,2406.0,655.0,1.5208,69500.0,True,False,False,False,4.425954198473282,0.26043463263194205,3.6732824427480915
-121.83,37.2,6.0,3694.0,574.0,1554.0,527.0,6.8333,348000.0,False,False,False,False,7.009487666034156,0.15538711423930698,2.9487666034155597
-121.89,37.25,21.0,2080.0,352.0,1040.0,325.0,5.2887,264500.0,False,False,False,False,6.4,0.16923076923076924,3.2
-118.2,34.02,42.0,498.0,120.0,548.0,119.0,3.7543,126600.0,False,False,False,False,4.184873949579832,0.24096385542168675,4.605042016806722
-117.13,34.17,17.0,1181.0,271.0,248.0,114.0,5.5762,150000.0,True,False,False,False,10.359649122807017,0.22946655376799321,2.175438596491228
-119.76,36.75,39.0,2233.0,563.0,2031.0,491.0,1.8641,50800.0,True,False,False,False,4.547861507128309,0.25212718316166594,4.136456211812627
-120.19,39.35,7.0,2611.0,395.0,482.0,159.0,5.0622,174100.0,True,False,False,False,16.42138364779874,0.15128303332056683,3.0314465408805034
-124.11,40.93,17.0,1661.0,329.0,948.0,357.0,2.7639,90200.0,False,False,False,True,4.652661064425771,0.19807344972907887,2.6554621848739495
-119.05,35.36,16.0,4507.0,1049.0,2261.0,959.0,3.3261,118400.0,True,False,False,False,4.699687174139729,0.23274905702240958,2.3576642335766422
-122.44,37.72,48.0,2675.0,585.0,1773.0,540.0,3.9565,268500.0,False,False,True,False,4.953703703703703,0.21869158878504674,3.283333333333333
-118.48,34.03,19.0,902.0,284.0,414.0,272.0,1.3333,310000.0,False,False,False,False,3.3161764705882355,0.3148558758314856,1.5220588235294117
-117.96,33.83,34.0,982.0,148.0,498.0,156.0,6.3214,220800.0,False,False,False,False,6.294871794871795,0.15071283095723015,3.1923076923076925
-118.4,34.19,35.0,2180.0,599.0,1483.0,574.0,3.0395,191300.0,False,False,False,False,3.797909407665505,0.27477064220183484,2.583623693379791
-121.38,38.41,10.0,3425.0,629.0,1538.0,587.0,4.45,138700.0,True,False,False,False,5.834752981260648,0.18364963503649634,2.6201022146507666
-118.3,33.99,47.0,2212.0,533.0,1903.0,554.0,1.9853,101100.0,False,False,False,False,3.9927797833935017,0.24095840867992765,3.435018050541516
-120.44,34.96,30.0,1685.0,315.0,1290.0,368.0,3.4722,112500.0,False,False,False,False,4.578804347826087,0.18694362017804153,3.505434782608696
-121.9,37.25,28.0,2714.0,502.0,1389.0,490.0,5.7385,240400.0,False,False,False,False,5.538775510204082,0.184966838614591,2.8346938775510204
-118.35,34.07,48.0,890.0,255.0,434.0,232.0,3.6111,450000.0,False,False,False,False,3.836206896551724,0.28651685393258425,1.8706896551724137
-118.11,33.82,37.0,1756.0,345.0,836.0,335.0,4.375,218200.0,False,False,False,False,5.24179104477612,0.19646924829157175,2.4955223880597015
-122.03,36.97,51.0,924.0,232.0,488.0,228.0,2.1964,234400.0,False,False,False,True,4.052631578947368,0.2510822510822511,2.1403508771929824
-117.64,34.11,16.0,2129.0,420.0,932.0,379.0,2.5868,146900.0,True,False,False,False,5.617414248021108,0.1972757162987318,2.45910290237467
-118.14,33.97,36.0,1407.0,385.0,1763.0,350.0,2.6364,150000.0,False,False,False,False,4.02,0.2736318407960199,5.037142857142857
-121.42,36.57,13.0,2685.0,621.0,2474.0,573.0,2.8775,134100.0,False,False,False,False,4.68586387434555,0.23128491620111732,4.317626527050611
-124.15,40.78,36.0,2112.0,374.0,829.0,368.0,3.3984,90000.0,False,False,False,True,5.739130434782608,0.17708333333333334,2.2527173913043477
-121.81,37.25,20.0,3398.0,771.0,1231.0,744.0,2.0288,350000.0,False,False,False,False,4.567204301075269,0.2268981753972925,1.6545698924731183
-118.13,33.79,44.0,2153.0,375.0,947.0,364.0,5.0072,236200.0,False,False,False,True,5.914835164835165,0.17417556897352532,2.6016483516483517
-118.2,33.94,43.0,1934.0,511.0,1895.0,493.0,2.5029,159700.0,False,False,False,False,3.922920892494929,0.2642192347466391,3.843813387423935
-118.14,33.91,37.0,932.0,171.0,578.0,175.0,4.375,177600.0,False,False,False,False,5.325714285714286,0.1834763948497854,3.302857142857143
-120.66,35.29,39.0,2163.0,652.0,1153.0,599.0,2.084,233300.0,False,False,False,True,3.6110183639398996,0.30143319463707813,1.9248747913188649
-123.21,39.15,52.0,1370.0,258.0,617.0,228.0,2.55,112900.0,False,False,False,False,6.008771929824562,0.18832116788321168,2.706140350877193
-121.91,36.42,14.0,1078.0,261.0,382.0,171.0,3.7083,210000.0,False,False,False,True,6.304093567251462,0.24211502782931354,2.2339181286549707
-122.31,37.57,42.0,3157.0,676.0,1603.0,629.0,3.7422,292600.0,False,False,False,True,5.019077901430842,0.21412733607855558,2.548489666136725
-118.14,34.06,39.0,2390.0,444.0,1246.0,422.0,3.7857,245700.0,False,False,False,False,5.6635071090047395,0.18577405857740587,2.9526066350710902
-121.76,37.67,6.0,3023.0,518.0,1225.0,468.0,6.3705,350000.0,True,False,False,False,6.4594017094017095,0.17135296063513067,2.6175213675213675
-122.49,37.68,35.0,2405.0,461.0,1583.0,471.0,5.0659,238000.0,False,False,False,True,5.10615711252654,0.1916839916839917,3.3609341825902335
-119.48,35.17,36.0,116.0,20.0,39.0,18.0,3.125,37500.0,True,False,False,False,6.444444444444445,0.1724137931034483,2.1666666666666665
-118.23,34.1,46.0,2483.0,587.0,2121.0,553.0,2.2788,152900.0,False,False,False,False,4.490054249547921,0.23640757148610553,3.8354430379746836
-122.39,37.6,36.0,1770.0,499.0,1225.0,459.0,2.56,273100.0,False,False,False,True,3.8562091503267975,0.28192090395480224,2.6688453159041394
-121.23,37.96,37.0,2351.0,564.0,1591.0,549.0,1.6563,57200.0,True,False,False,False,4.2823315118397085,0.23989791578051892,2.8979963570127505
-121.26,37.99,27.0,429.0,102.0,179.0,90.0,2.3333,87500.0,True,False,False,False,4.766666666666667,0.23776223776223776,1.988888888888889
-121.49,38.56,52.0,1777.0,368.0,624.0,350.0,3.6729,137800.0,True,False,False,False,5.077142857142857,0.20709060213843555,1.782857142857143
-122.09,37.38,34.0,1959.0,342.0,849.0,357.0,6.2884,414700.0,False,False,True,False,5.487394957983193,0.17457886676875958,2.3781512605042017
-119.18,34.16,27.0,1832.0,415.0,1480.0,414.0,3.9643,186000.0,False,False,False,True,4.42512077294686,0.22652838427947597,3.57487922705314
-119.06,34.38,33.0,1465.0,262.0,731.0,266.0,3.9464,230300.0,False,False,False,False,5.507518796992481,0.178839590443686,2.7481203007518795
-118.21,33.81,43.0,905.0,199.0,764.0,204.0,3.3214,162200.0,False,False,False,True,4.436274509803922,0.21988950276243094,3.7450980392156863
-120.76,38.65,17.0,2319.0,430.0,1126.0,372.0,3.5511,155900.0,True,False,False,False,6.233870967741935,0.18542475204829667,3.0268817204301075
